Gene Symbol	Gene Product Name	GenBank Accession	Strain Name	Collection Date	Host	Country
NA	Neuraminidase	CY111464	A/Boston/DOA86/2011	3/29/2011	Human	USA
NA	Neuraminidase	CY111472	A/Boston/DOA87/2011	4/25/2011	Human	USA
PA-N182	PA-N182 protein(535)	CY111475	A/Boston/DOA87/2011	4/25/2011	Human	USA
PA-N155	PA-N155 protein(562)	CY111475	A/Boston/DOA87/2011	4/25/2011	Human	USA
PA-X	PA-X protein(+61)	CY111475	A/Boston/DOA87/2011	4/25/2011	Human	USA
PA	Polymerase PA	CY111475	A/Boston/DOA87/2011	4/25/2011	Human	USA
NP	Nucleocapsid protein	CY111473	A/Boston/DOA87/2011	4/25/2011	Human	USA
PB1-N40	PB1-N40 protein(718)	CY111476	A/Boston/DOA87/2011	4/25/2011	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY111476	A/Boston/DOA87/2011	4/25/2011	Human	USA
HA	Hemagglutinin	CY111470	A/Boston/DOA87/2011	4/25/2011	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY125781	A/Boston/DOA90/2012	2/21/2012	Human	USA
HA	Hemagglutinin	CY125775	A/Boston/DOA90/2012	2/21/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY125781	A/Boston/DOA90/2012	2/21/2012	Human	USA
NA	Neuraminidase	CY125777	A/Boston/DOA90/2012	2/21/2012	Human	USA
NP	Nucleocapsid protein	CY125778	A/Boston/DOA90/2012	2/21/2012	Human	USA
NS1	Nonstructural protein 1	CY125768	A/Boston/DOA91/2012	3/14/2012	Human	USA
PA	Polymerase PA	CY125770	A/Boston/DOA91/2012	3/14/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY125773	A/Boston/DOA91/2012	3/14/2012	Human	USA
PA	Polymerase PA	CY125769	A/Boston/DOA91/2012	3/14/2012	Human	USA
PB1	Polymerase PB1	CY125771	A/Boston/DOA91/2012	3/14/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY125774	A/Boston/DOA91/2012	3/14/2012	Human	USA
PB1	Polymerase PB1	CY125772	A/Boston/DOA91/2012	3/14/2012	Human	USA
NS1	Nonstructural protein 1	CY125787	A/Boston/DOA93/2012	3/26/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY125788	A/Boston/DOA93/2012	3/26/2012	Human	USA
PA	Polymerase PA	CY125788	A/Boston/DOA93/2012	3/26/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY125788	A/Boston/DOA93/2012	3/26/2012	Human	USA
HA	Hemagglutinin	CY125783	A/Boston/DOA93/2012	3/26/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY125790	A/Boston/DOA93/2012	3/26/2012	Human	USA
NS1	Nonstructural protein 1	CY125795	A/Boston/DOA94/2012	4/19/2012	Human	USA
HA	Hemagglutinin	CY125791	A/Boston/DOA94/2012	4/19/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY125797	A/Boston/DOA94/2012	4/19/2012	Human	USA
PB1-F2	PB1-F2 protein	CY125797	A/Boston/DOA94/2012	4/19/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY125797	A/Boston/DOA94/2012	4/19/2012	Human	USA
NA	Neuraminidase	CY125793	A/Boston/DOA94/2012	4/19/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY125798	A/Boston/DOA94/2012	4/19/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY167893	A/Boston/YGA_00002/2012	10/26/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY167893	A/Boston/YGA_00002/2012	10/26/2012	Human	USA
NP	Nucleocapsid protein	CY167906	A/Boston/YGA_00004/2012	12/5/2012	Human	USA
NA	Neuraminidase	CY167905	A/Boston/YGA_00004/2012	12/5/2012	Human	USA
PA-X	PA-X protein	CY167908	A/Boston/YGA_00004/2012	12/5/2012	Human	USA
NS1	Nonstructural protein 1	CY167947	A/Boston/YGA_00010/2012	12/20/2012	Human	USA
NS1	Nonstructural protein 1	CY167963	A/Boston/YGA_00012/2012	12/27/2012	Human	USA
HA	Hemagglutinin	CY167967	A/Boston/YGA_00014/2012	12/28/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY167973	A/Boston/YGA_00014/2012	12/28/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY167973	A/Boston/YGA_00014/2012	12/28/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY167982	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
M1	Matrix protein 1	CY167976	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
PA	Polymerase PA	CY167980	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY167980	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY167980	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
HA	Hemagglutinin	CY167975	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
NA	Neuraminidase	CY167977	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY167981	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
PB1-F2	Putative PB1-F2 protein	CY167981	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY167981	A/Boston/YGA_00015/2012	12/28/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY167989	A/Boston/YGA_00016/2012	12/28/2012	Human	USA
NP	Nucleocapsid protein	CY167986	A/Boston/YGA_00016/2012	12/28/2012	Human	USA
NS1	Nonstructural protein 1	CY167987	A/Boston/YGA_00016/2012	12/28/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY167990	A/Boston/YGA_00016/2012	12/28/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY167989	A/Boston/YGA_00016/2012	12/28/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY167998	A/Boston/YGA_00017/2012	12/29/2012	Human	USA
NA	Neuraminidase	CY168001	A/Boston/YGA_00019/2012	12/31/2012	Human	USA
NP	Nucleocapsid protein	CY168010	A/Boston/YGA_00020/2012	12/28/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168014	A/Boston/YGA_00020/2012	12/28/2012	Human	USA
NA	Neuraminidase	CY168009	A/Boston/YGA_00020/2012	12/28/2012	Human	USA
PA	Polymerase PA	CY168020	A/Boston/YGA_00021/2012	12/31/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY168020	A/Boston/YGA_00021/2012	12/31/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY168020	A/Boston/YGA_00021/2012	12/31/2012	Human	USA
NS1	Nonstructural protein 1	CY168035	A/Boston/YGA_00024/2013	1/3/2013	Human	USA
PA	Polymerase PA	CY168036	A/Boston/YGA_00024/2013	1/3/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168036	A/Boston/YGA_00024/2013	1/3/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168036	A/Boston/YGA_00024/2013	1/3/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168046	A/Boston/YGA_00025/2013	1/3/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168054	A/Boston/YGA_00026/2013	1/3/2013	Human	USA
NS2	Nuclear export protein	CY168051	A/Boston/YGA_00026/2013	1/3/2013	Human	USA
NS1	Nonstructural protein 1	CY168051	A/Boston/YGA_00026/2013	1/3/2013	Human	USA
NA	Neuraminidase	CY168049	A/Boston/YGA_00026/2013	1/3/2013	Human	USA
NS2	Nuclear export protein	CY168059	A/Boston/YGA_00027/2013	1/3/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168070	A/Boston/YGA_00028/2013	1/3/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168069	A/Boston/YGA_00028/2013	1/3/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168069	A/Boston/YGA_00028/2013	1/3/2013	Human	USA
PA	Polymerase PA	CY168068	A/Boston/YGA_00028/2013	1/3/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168068	A/Boston/YGA_00028/2013	1/3/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168068	A/Boston/YGA_00028/2013	1/3/2013	Human	USA
NA	Neuraminidase	CY168065	A/Boston/YGA_00028/2013	1/3/2013	Human	USA
HA	Hemagglutinin	CY168071	A/Boston/YGA_00030/2013	1/4/2013	Human	USA
NA	Neuraminidase	CY168081	A/Boston/YGA_00031/2013	1/9/2013	Human	USA
NA	Neuraminidase	CY168089	A/Boston/YGA_00035/2013	1/10/2013	Human	USA
PA	Polymerase PA	CY168092	A/Boston/YGA_00035/2013	1/10/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168092	A/Boston/YGA_00035/2013	1/10/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168092	A/Boston/YGA_00035/2013	1/10/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168101	A/Boston/YGA_00037/2013	1/10/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168101	A/Boston/YGA_00037/2013	1/10/2013	Human	USA
HA	Hemagglutinin	CY168095	A/Boston/YGA_00037/2013	1/10/2013	Human	USA
NA	Neuraminidase	CY168105	A/Boston/YGA_00038/2013	1/11/2013	Human	USA
NS1	Nonstructural protein 1	CY168115	A/Boston/YGA_00039/2013	1/11/2013	Human	USA
NEP	Nuclear export protein	CY168115	A/Boston/YGA_00039/2013	1/11/2013	Human	USA
NS1	Nonstructural protein 1	CY168123	A/Boston/YGA_00040/2013	1/11/2013	Human	USA
NA	Neuraminidase	CY168129	A/Boston/YGA_00041/2013	1/11/2013	Human	USA
HA	Hemagglutinin	CY168135	A/Boston/YGA_00042/2013	1/12/2013	Human	USA
NP	Nucleocapsid protein	CY168138	A/Boston/YGA_00042/2013	1/12/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168158	A/Boston/YGA_00044/2013	1/13/2013	Human	USA
NS1	Nonstructural protein 1	CY168155	A/Boston/YGA_00044/2013	1/13/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168172	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168173	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
PB1-F2	PB1-F2 protein	CY168173	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168173	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
NA	Neuraminidase	CY168169	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168174	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
M2	Matrix protein 2	CY168168	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
NS1	Nonstructural protein 1	CY168171	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
HA	Hemagglutinin	CY168167	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
PA	Polymerase PA	CY168172	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168172	A/Boston/YGA_00046/2013	1/14/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168181	A/Boston/YGA_00047/2013	1/15/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168181	A/Boston/YGA_00047/2013	1/15/2013	Human	USA
PB1-F2	PB1-F2 protein	CY168181	A/Boston/YGA_00047/2013	1/15/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168190	A/Boston/YGA_00048/2013	1/15/2013	Human	USA
HA	Hemagglutinin	CY168199	A/Boston/YGA_00050/2013	1/18/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168214	A/Boston/YGA_00051/2013	1/18/2013	Human	USA
NA	Neuraminidase	CY168225	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
HA	Hemagglutinin	CY168223	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168230	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168229	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168229	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
PA	Polymerase PA	CY168228	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168228	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168228	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
NS1	Nonstructural protein 1	CY168227	A/Boston/YGA_00053/2013	1/21/2013	Human	USA
HA	Hemagglutinin	CY168231	A/Boston/YGA_00054/2013	1/24/2013	Human	USA
NS1	Nonstructural protein 1	CY168235	A/Boston/YGA_00054/2013	1/24/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168244	A/Boston/YGA_00055/2013	2/1/2013	Human	USA
NP	Nucleocapsid protein	CY168242	A/Boston/YGA_00055/2013	2/1/2013	Human	USA
HA	Hemagglutinin	CY168239	A/Boston/YGA_00055/2013	2/1/2013	Human	USA
PA	Polymerase PA	CY168244	A/Boston/YGA_00055/2013	2/1/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168244	A/Boston/YGA_00055/2013	2/1/2013	Human	USA
NA	Neuraminidase	CY168249	A/Boston/YGA_00056/2013	2/1/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168269	A/Boston/YGA_00060/2013	2/6/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168269	A/Boston/YGA_00060/2013	2/6/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168270	A/Boston/YGA_00060/2013	2/6/2013	Human	USA
HA	Hemagglutinin	CY168271	A/Boston/YGA_00061/2013	2/6/2013	Human	USA
PA	Polymerase PA	CY168284	A/Boston/YGA_00062/2013	2/11/2013	Human	USA
NS1	Nonstructural protein 1	CY168283	A/Boston/YGA_00062/2013	2/11/2013	Human	USA
PA-X	PA-X protein	CY168284	A/Boston/YGA_00062/2013	2/11/2013	Human	USA
NEP	Nuclear export protein	CY167792	A/Boston/YGA_00063/2013	2/12/2013	Human	USA
HA	Hemagglutinin	CY168287	A/Boston/YGA_00064/2013	2/15/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168293	A/Boston/YGA_00064/2013	2/15/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168293	A/Boston/YGA_00064/2013	2/15/2013	Human	USA
NP	Nucleocapsid protein	CY168298	A/Boston/YGA_00066/2013	2/21/2013	Human	USA
PA	Polymerase PA	CY168300	A/Boston/YGA_00066/2013	2/21/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168300	A/Boston/YGA_00066/2013	2/21/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168300	A/Boston/YGA_00066/2013	2/21/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168301	A/Boston/YGA_00066/2013	2/21/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168301	A/Boston/YGA_00066/2013	2/21/2013	Human	USA
HA	Hemagglutinin	CY168295	A/Boston/YGA_00066/2013	2/21/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168310	A/Boston/YGA_00067/2013	2/26/2013	Human	USA
NA	Neuraminidase	CY168305	A/Boston/YGA_00067/2013	2/26/2013	Human	USA
NS1	Nonstructural protein 1	CY168307	A/Boston/YGA_00067/2013	2/26/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168317	A/Boston/YGA_00068/2013	2/28/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168317	A/Boston/YGA_00068/2013	2/28/2013	Human	USA
PA	Polymerase PA	CY168316	A/Boston/YGA_00068/2013	2/28/2013	Human	USA
PA-X	PA-X protein	CY168316	A/Boston/YGA_00068/2013	2/28/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY167803	A/Boston/YGA_00073/2013	1/18/2013	Human	USA
PB1-F2	PB1-F2 protein	CY168357	A/Boston/YGA_00077/2013	1/19/2013	Human	USA
NP	Nucleocapsid protein	CY168354	A/Boston/YGA_00077/2013	1/19/2013	Human	USA
PA	Polymerase PA	CY168364	A/Boston/YGA_00078/2013	1/20/2013	Human	USA
HA	Hemagglutinin	CY168359	A/Boston/YGA_00078/2013	1/20/2013	Human	USA
NA	Neuraminidase	CY168361	A/Boston/YGA_00078/2013	1/20/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168366	A/Boston/YGA_00078/2013	1/20/2013	Human	USA
PB1-F2	PB1-F2 protein	CY168365	A/Boston/YGA_00078/2013	1/20/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168364	A/Boston/YGA_00078/2013	1/20/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168364	A/Boston/YGA_00078/2013	1/20/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168373	A/Boston/YGA_00079/2013	1/21/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168373	A/Boston/YGA_00079/2013	1/21/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168374	A/Boston/YGA_00079/2013	1/21/2013	Human	USA
HA	Hemagglutinin	CY168367	A/Boston/YGA_00079/2013	1/21/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168381	A/Boston/YGA_00080/2013	1/22/2013	Human	USA
HA	Hemagglutinin	CY168375	A/Boston/YGA_00080/2013	1/22/2013	Human	USA
M2	Matrix protein 2	CY168376	A/Boston/YGA_00080/2013	1/22/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168380	A/Boston/YGA_00080/2013	1/22/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168380	A/Boston/YGA_00080/2013	1/22/2013	Human	USA
PA	Polymerase PA	CY168380	A/Boston/YGA_00080/2013	1/22/2013	Human	USA
NA	Neuraminidase	CY168377	A/Boston/YGA_00080/2013	1/22/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168381	A/Boston/YGA_00080/2013	1/22/2013	Human	USA
NA	Neuraminidase	CY168385	A/Boston/YGA_00081/2013	1/23/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168389	A/Boston/YGA_00081/2013	1/23/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168389	A/Boston/YGA_00081/2013	1/23/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168390	A/Boston/YGA_00081/2013	1/23/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168388	A/Boston/YGA_00081/2013	1/23/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168388	A/Boston/YGA_00081/2013	1/23/2013	Human	USA
PA	Polymerase PA	CY168388	A/Boston/YGA_00081/2013	1/23/2013	Human	USA
NS2	Nuclear export protein	CY168395	A/Boston/YGA_00082/2013	1/23/2013	Human	USA
NS1	Nonstructural protein 1	CY168395	A/Boston/YGA_00082/2013	1/23/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168397	A/Boston/YGA_00082/2013	1/23/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168397	A/Boston/YGA_00082/2013	1/23/2013	Human	USA
NP	Nucleocapsid protein	CY168394	A/Boston/YGA_00082/2013	1/23/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168406	A/Boston/YGA_00083/2013	1/23/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168405	A/Boston/YGA_00083/2013	1/23/2013	Human	USA
PB1-F2	PB1-F2 protein	CY168405	A/Boston/YGA_00083/2013	1/23/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168405	A/Boston/YGA_00083/2013	1/23/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168413	A/Boston/YGA_00084/2013	1/25/2013	Human	USA
PB1-F2	PB1-F2 protein	CY168413	A/Boston/YGA_00084/2013	1/25/2013	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168413	A/Boston/YGA_00084/2013	1/25/2013	Human	USA
M2	Matrix protein 2	CY168408	A/Boston/YGA_00084/2013	1/25/2013	Human	USA
M1	Matrix protein 1	CY168408	A/Boston/YGA_00084/2013	1/25/2013	Human	USA
NS1	Nonstructural protein 1	CY168411	A/Boston/YGA_00084/2013	1/25/2013	Human	USA
PA-X	PA-X protein	CY168412	A/Boston/YGA_00084/2013	1/25/2013	Human	USA
PA-X	PA-X protein	CY168420	A/Boston/YGA_00086/2013	1/29/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168428	A/Boston/YGA_00087/2013	1/30/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168428	A/Boston/YGA_00087/2013	1/30/2013	Human	USA
PA-X	PA-X protein	CY168428	A/Boston/YGA_00087/2013	1/30/2013	Human	USA
PA	Polymerase PA	CY168428	A/Boston/YGA_00087/2013	1/30/2013	Human	USA
NS1	Nonstructural protein 1	CY168427	A/Boston/YGA_00087/2013	1/30/2013	Human	USA
HA	Hemagglutinin	CY168423	A/Boston/YGA_00087/2013	1/30/2013	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168430	A/Boston/YGA_00087/2013	1/30/2013	Human	USA
NA	Neuraminidase	CY168425	A/Boston/YGA_00087/2013	1/30/2013	Human	USA
NA	Neuraminidase	CY168433	A/Boston/YGA_00088/2013	2/4/2013	Human	USA
NA	Neuraminidase	CY168449	A/Boston/YGA_00090/2012	12/20/2012	Human	USA
HA	Hemagglutinin	CY168455	A/Boston/YGA_00091/2013	2/4/2013	Human	USA
PA-N155	PA-N155 protein(562)	CY168468	A/Boston/YGA_00092/2013	2/1/2013	Human	USA
HA	Hemagglutinin	CY168463	A/Boston/YGA_00092/2013	2/1/2013	Human	USA
PA-N182	PA-N182 protein(535)	CY168468	A/Boston/YGA_00092/2013	2/1/2013	Human	USA
PA	Polymerase PA	CY168468	A/Boston/YGA_00092/2013	2/1/2013	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168477	A/Boston/YGA_00093/2012	12/20/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168477	A/Boston/YGA_00093/2012	12/20/2012	Human	USA
NS2	Nuclear export protein	CY168475	A/Boston/YGA_00093/2012	12/20/2012	Human	USA
NS1	Nonstructural protein 1	CY168475	A/Boston/YGA_00093/2012	12/20/2012	Human	USA
HA	Hemagglutinin	CY168471	A/Boston/YGA_00093/2012	12/20/2012	Human	USA
HA	Hemagglutinin	CY168503	A/Boston/YGA_00097/2013	3/23/2013	Human	USA
HA	Hemagglutinin	CY168511	A/Boston/YGA_00098/2013	4/1/2013	Human	USA
NA	Neuraminidase	CY168513	A/Boston/YGA_00098/2013	4/1/2013	Human	USA
NS2	Nuclear export protein	CY168523	A/Boston/YGA_00099/2013	4/23/2013	Human	USA
NS1	Nonstructural protein 1	CY168523	A/Boston/YGA_00099/2013	4/23/2013	Human	USA
PA	Polymerase PA	CY168548	A/Boston/YGA_01003/2012	12/19/2012	Human	USA
PA-X	PA-X protein	CY168548	A/Boston/YGA_01003/2012	12/19/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY168548	A/Boston/YGA_01003/2012	12/19/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY168548	A/Boston/YGA_01003/2012	12/19/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168549	A/Boston/YGA_01003/2012	12/19/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168549	A/Boston/YGA_01003/2012	12/19/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168558	A/Boston/YGA_01004/2012	12/20/2012	Human	USA
PA-X	PA-X protein	CY168564	A/Boston/YGA_01005/2012	12/20/2012	Human	USA
HA	Hemagglutinin	CY168567	A/Boston/YGA_01006/2012	12/20/2012	Human	USA
NA	Neuraminidase	CY168577	A/Boston/YGA_01008/2012	12/20/2012	Human	USA
HA	Hemagglutinin	CY168575	A/Boston/YGA_01008/2012	12/20/2012	Human	USA
M1	Matrix protein 1	CY168584	A/Boston/YGA_01009/2012	12/20/2012	Human	USA
PA	Polymerase PA	CY168596	A/Boston/YGA_01010/2012	12/20/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY168596	A/Boston/YGA_01010/2012	12/20/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY168596	A/Boston/YGA_01010/2012	12/20/2012	Human	USA
HA	Hemagglutinin	CY168599	A/Boston/YGA_01011/2012	12/21/2012	Human	USA
NA	Neuraminidase	CY168609	A/Boston/YGA_01012/2012	12/21/2012	Human	USA
PA	Polymerase PA	CY168620	A/Boston/YGA_01013/2012	12/21/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY168620	A/Boston/YGA_01013/2012	12/21/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY168620	A/Boston/YGA_01013/2012	12/21/2012	Human	USA
HA	Hemagglutinin	CY168615	A/Boston/YGA_01013/2012	12/21/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY168628	A/Boston/YGA_01014/2012	12/21/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY168628	A/Boston/YGA_01014/2012	12/21/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168629	A/Boston/YGA_01014/2012	12/21/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168629	A/Boston/YGA_01014/2012	12/21/2012	Human	USA
PA	Polymerase PA	CY168628	A/Boston/YGA_01014/2012	12/21/2012	Human	USA
NA	Neuraminidase	CY168633	A/Boston/YGA_01015/2012	12/21/2012	Human	USA
M2	Matrix protein 2	CY168632	A/Boston/YGA_01015/2012	12/21/2012	Human	USA
HA	Hemagglutinin	CY168639	A/Boston/YGA_01016/2012	12/22/2012	Human	USA
PA	Polymerase PA	CY168644	A/Boston/YGA_01016/2012	12/22/2012	Human	USA
PA-N155	PA-N155 protein(562)	CY168644	A/Boston/YGA_01016/2012	12/22/2012	Human	USA
PA-N182	PA-N182 protein(535)	CY168644	A/Boston/YGA_01016/2012	12/22/2012	Human	USA
NS2	Nuclear export protein	CY168651	A/Boston/YGA_01017/2012	12/21/2012	Human	USA
NP	Nucleocapsid protein	CY168666	A/Boston/YGA_01020/2012	12/22/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168669	A/Boston/YGA_01020/2012	12/22/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168669	A/Boston/YGA_01020/2012	12/22/2012	Human	USA
HA	Hemagglutinin	CY168663	A/Boston/YGA_01020/2012	12/22/2012	Human	USA
NS1	Nonstructural protein 1	CY168667	A/Boston/YGA_01020/2012	12/22/2012	Human	USA
PB1-F2	PB1-F2 protein	CY168693	A/Boston/YGA_01024/2012	12/23/2012	Human	USA
NA	Neuraminidase	CY168697	A/Boston/YGA_01025/2012	12/22/2012	Human	USA
PB2	PB2 Polymerase (basic) protein 2	CY168710	A/Boston/YGA_01026/2012	12/23/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168717	A/Boston/YGA_01027/2012	12/23/2012	Human	USA
PB1-N40	PB1-N40 protein(718)	CY168717	A/Boston/YGA_01027/2012	12/23/2012	Human	USA
NP	Nucleocapsid protein	CY168714	A/Boston/YGA_01027/2012	12/23/2012	Human	USA
PB1	RNA-directed RNA polymerase catalytic subunit	CY168725	A/Boston/YGA_01028/2012	12/23/2012	Human	USA
